How long b4 we start driving them out of the cities and towns deep into the wilderness where they belong,racist
"Oh my god, see who are shouting of communal violence, Muslims. Dear Muslims, see your own history and read how many temples your forefathers have destroyed. Madarchod, masjid ke sath Muhammad aur Islam ko bhi jameen ke andar pahuncha denge panch feet andar.",racist
The religion of terrorist,racist
The Coudenhove-Kalergi plan – The genocide of the Peoples of Europe,racist
"I prefer being called racist and nazi, then die without fighting back. I am anti-mainstream No #BLM No #Immigration No #vaccine No #whitegenocide",racist
"You anti-whites demand non-white immigration into EVERY white majority country — you call it “promoting diversity” — demand so-called “race” mixing, which is actually only *white* mixing, and use public money for busing and “low-cost” (black) housing to chase down white flight.",racist
"Same energy White daughters to the slaughter! Slimy scumbag Groids slobbering all over our white daughters! Bc of the lies about BLM, George false flag Floyd, white people. Watch out! Sendthemback! WhiteGenocide TheGreatReplacement",racist
#WhiteGenocide #WhitePrivilige to Die! Invaders BEFORE White Tax Paying Citizens,racist
World War Two was fought to make the world safe for #WhiteGenocide,racist
Asian migrants spill the beans. Russia told them to go to Europe. ,racist
"So, before they were claiming that no one could fight it off, and now they are saying its based on an age criteria... But also, being denied medical treatment because he is white should be enough to get her fired and this hospital sued. This is how they plan",racist
And #WhiteGenocide is just tolerance and brotherhood.,racist
The Federation ELITE think this is the ideal couple. #WhiteGenocide,racist
... And in the UK too! They've finally made whites a minority.,racist
"""Racism"" is an exclusively #antiWhite hate slur. ""Progress"" is code for White self hatred and ultimately #WhiteGenocide. This is a disgusting, evil, #antiWhite hate tweet.",racist
I don't remember who published this but it was a mainstream media company This video justifies white genocide,racist
Imma need all our stupid opps to stop spreading lies about us and speak the truth for once. It makes ya'll seem dumb when the truth reveals itself,racist
"Please refer to them as ANTI-WHITES who are doing their part to complete #WhiteGenocide. Would you flood African countries with millions of non-Africans and call Africans ""racist"" if they protested being blended out of existance?",racist
Thank God your descendants are speaking Spanish not German. Diversity is a code word for White Genocide.,racist
Case 1 an indigenous Briton person is very depressed and you tell them that their people are malformed and maladapted. is that indigenous person more likely to take their life or more likely to cheer up? ,racist
"raceplay To the braindead and stupid people who spout stuff like bnwo and WhiteGeNocide, fuck off, You're not superior in any way or aree justs an idiot. Genocide is a crime, and if you unironically believe things like this then you need to fucking chilll",racist
"One of the biggest falsehoods you learn growing up white in America is the lie that Black Panthers were somehow the ""black version of the KKK"" when nothing is further from the truth. ",racist
"""Diversity"" means chasing down the last White person.",racist
"From green spaces to sustainable living, here's how we can make the most of our precious time.",neither
"If we are to go some way to undoing the damage humans have inflicted on the world, then real change is going to have to happen in massive cities like London, Tokyo, New York, and all the rest.",neither
"We don't want to point the finger, but cities have a lot to answer for when it comes to #climate change",neither
I’d rather get my vaccine advice from Mr. T than Fox News. “I pity the fool” who thinks otherwise.,neither
I am Blessed and I am Thankful. I just got my Booster Vaccination shot. My arm is a little sore but no pain. I Pity Pain! Thanks again to all the Doctors and Nurses…,neither
"History was made during the U.S. elections when Sarah E McBride became the country's first trans state senator – and, briefly, the highest-ranking trans official in the country. ""I ran to make a difference in my community,"" she said after her win.",neither
"In his first week in office, President Biden overturned the controversial ban on trans people newly joining the U.S. military. ""This is such a huge relief,"" said Nic Talbott, who was forced to drop out of the Army Reserve Officers' Training Corps.",neither
"Bangladesh gained its first trans news anchor amidst hopes of greater acceptance in the socially conservative country. ""This could be revolutionary,"" said Tashnuva Anan, who now regularly appears on Bangladeshi television.",neither
Max is in. And Lewis leads in Interlagos. VB up to P2.,neither
makes another pit stop and serves his penalty he takes new Hards and rejoins P17,neither
"Is this BrazilGP going quickly?! The fight of dirty turbulent air and talks of making it a two stop or trying to pull of a one stop have begun, all of which could have a big impact on both championships",neither
you are right there are issues but banning Muslims from entering doesn't solve anything,neither
"When Delta variant became dominant, vaccination reduced risk of COVID19 hospitalization 84%, a new report shows. Fully vaccinated adults hospitalized w/ COVID-19 were less likely to die or need a ventilator than unvaccinated patients. Get vaccinated",neither
"Parents: Keep children from getting or spreading COVID19 at early care & education programs. Keep them home if sick. If they are ages 2 years & older, they should wear a mask over their mouth & nose while indoors & in crowded outdoor spaces.",neither
Share the holiday magic with a chance at winning a one-of-a-kind Cameo from Santa,neither
"Watching your streams is always a win in our book, TSM_Myth. Unlock the Real Magic!",neither
Believe in your ability to grow. Believe in your ability to change. Believe in your ability to be the best. Believe in your ability to conquer. Believe in your ability to love. Believe in your ability to be happy. Keep Believing. Goodnight.,neither
Anyone know any darker themed photographers located in LA? Trying to get some new shit poppin for the gram.,neither
ended stream early to take QT to the ER …she ran full speed into a glass door LOL (she’s feeling better but has a mild concussion send cute animal pics to her),neither
BRO VS BRO LUDWIG VS NORTHERLION HAPPENING RIGHT NOW,neither
"""and the lord said Gambling is fucked"" unfollow me if you are a gambler",neither
if you follow my account you are protected from demons. you are protected from all x-files,neither
"me and thr boys taking massive amounts of heroin behind macaroni grill saying shit like ""Uh yeah That just happened "" every time we shoot up",neither
gaming is much like CHess....,neither
Let's start this account off right. Pick up whatever you are drinking. Cheers to you. You. Are. Awesome.,neither
need to raise uhhhh $140000 so i can get my daughter Lyvelaughlove in to the army at age 14,neither
"i will not post on this fucking website again until they add a filter which deletes every reply to my posts that isn't ""yes SIR""",neither
"Normally when Kat &amp; Andre go to campgrounds, it's so they can enjoy some dogging #MKR",none
Are Kat and What's his face paid actors? Surely people can't be THAT negative all the time.  #mkr,none
@mykitchenrules where is this place? It's beautiful! #MKR,none
"@Cactus_Soup90 tweetdeck is owned by twitter, and was bought around the time that devpolicy was changed.",none
"""People say I'm a public figure, but ewwww Twitter hasn't verified me yet so all these nasty plebs think they are on equal ground to me.""",none
"Yep, they are just as pretty as that plate. All the pieces are there, just not put together properly #MKR",none
#MKR Fuck you Colin! That was total shite!,none
I miss you.,none
@LeoKikiLady89 Thanks. Feminists now stand in the way of equality. So we'll never achieve it until people realize they won't finish the job.,sexism
RT @hymnforrachel Women should never participate in No Shave November. You should only have hair on your head.,sexism
"http://t.co/9yNL4eQcMP is a good option, but it's a partial solution. We need the ability to filter accts w/o phone number attached.",none
"Good job, @Razer. You finally created keyboard software that does something useful. A++ would install again.",none
I made the mistake of searching for pocky on Amazon. Now looking at wasabi and apple flavored Kit Kats. What. Time to move to Japan.,none
"@kittoms Social Justice Warrior AKA the liberals/feminists who are so ""tolerant"" they tolerate nothing &amp; want to impose their views on world",sexism
These outside challenges tend to separate the genuine competition contenders from the rest of the teams #MKR,none
@ProoN i would rather have teeth pulled.,none
@BlackOpal80 ...as soon as you follow enough known anti-feminists their block list activates and blocks you.  Possible she is unaware of me.,sexism
It's not even pastry! #mkr,none
@Skawtnyc @a_man_in_black @ChrisWarcraft I'll contact KS directly using my social network.,none
@MaslabDroid @gamerfortruth possibly,none
Annie reminds me of Annabelle #MKR http://t.co/3Dprk4hBba,none
"@HumanistFury You pay, yes.  Split, no.  She pays, no.",sexism
RT @_SHARMAI I'm not sexist but I don't really fw female rappers,sexism
Dessert shocker. #MKR,none
Get some more fucking teams why doncha? #mkr,none
"@NatalieTudor But, do they even interview the men?  If so, about what?",sexism
@dsplaisted @TheQuinnspiracy it was great to meet you! Thank you for the kind words.,none
RT @Swifter_YT I'm not sexist but I haven't subscribed to a single female YouTuber,sexism
Throwback to when vivek offered to show me around SU to shut me up. https://t.co/DoMBsoijp3,none
I'm staring at that bowl cursing myself for leaving engineering and going into NPO which does not allow me to purchase ridiculous things.,none
RT @Rhys_Dempsey29 Where the women should be #notsexist #justfunny http://t.co/PdfuIvUyG8,sexism
"@cheeseplus no kidding. I would *love* to see more deep storylines, especially around women characters.",none
@UseUrTongue Get help.  Seriously.,sexism
Watching #mkr gotta love my cooking shows,none
Surprise announcement. Drasko is actually Superman. Been dressed as Clark Kent for the whole show.  #MKR,none
Wheres the sudden death cook off? how do they die? Can we get tickets? #Mkr,none
"OK @Krygier_Lilly Call me sexist, but most people I have muted on my twitter are women.",sexism
RT @ducesettutamen: @JustLaurenB @MT8_9 Pretty much this. http://t.co/5DlDx5HCtq,sexism
UNLESS IT'S SIRI AMIRITE LOL @LithiumJA Never ever take directions from a woman! #notsexist,sexism
@trishesdishes @GamerBobobobob Yep.,none
Lots of raw food around #MKR,none
@Angry_Feminazi They use Orwell as a playbook.,sexism
@capehog I find it pretty disgusting that you would reply about legs on a fucking tweet about the situation in Gaza,none
I think the biggest problem I have with it is that there's too much of a reliance on WoW services for an external mechanism.,none
RT @TwoThug4U: @YesYoureSexist I wouldn't be so mad if not for the fact that I don't appreciate being called a bigot for saying that some t…,sexism
"@Shervyn I don't have to do it, but given that it's such a high priority, I need to put some time into it until we have it figured out.",none
RT @PeerWorker: @freebsdgirl You just lost $10 from crowd funding of your cause.  Choose your battles.,none
It's karma kat #mkr,sexism
RT @atonal440: @freebsdgirl this comment on this article reminded me of you. Do you stilget DOS mansplainers? http://t.co/phZ5ePVnCx http:/…,none
@JohnJohnisKilla Call me sexist or whatever it is but there's a BIG difference 2 guys and girls there is no equality in ability in general,sexism
"pssst. @jennofhardwire, if you're going to stalk my timeline when i have you blocked, it's closer to 14k followers. https://t.co/vxxTLycP0Z",none
"@HumanistFury @ListenToRaisin  They are mostly borderlines, yes.  W/ mucho NPD mixed in... &amp; lots of bipolarity.",sexism
RT @polotek: They literally told this dude he could keep his sponsorship money rather than make the effort to include more women. I say aga…,none
"@drakino lots more to come, i'm sure. :)",none
Well that is interesting #MKR,none
@TheQuinnspiracy @voiceofrae @Spacekatgal i'm always looking for an excuse to sing that song.,none
@DQTwitchStream Too much drinking.  Too many porn stars.  Then they end up winning in LA.  Should have given them more drinks &amp; porn stars.,sexism
"RT @Adobe: For those seeing #WhiteandGold in #TheDress (http://t.co/pNG9tXu5pU), @HopeTaylorPhoto ends the debate. http://t.co/W7TwQJy13m",none
@IAmMatticus @twitter will send an email tomorrow morning ;),none
#mkr Bring it on !!,none
"RT @ol_dirtymarco I'm not sexist, but I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",sexism
Kat might as well go home now since she has no chance of beating the other teams #mkr,sexism
RT @rjclifestyle i'm sorry i'm not sexist.....but i do not find women comedians funny. maybe tanisha long,sexism
"@GemmaNoon rather amused that despite their protests, GG is the only group i've looked at where abuse is easily predicted based on followers",none
"Kat, ugliness exudes from within hence a reflection in ones physical appearance. Lighten up girlfriend! #mkr #mkr2015",none
@wilw magnificent.,none
